userName,score,at,content,sentimen
Hendy Vsj,4,2024-12-31 04:31:12,"Untuk orang yg bener"" kepepet dan butuh uang gue rekomenin AdaKami, di situ bunga bener"" kecil, + tenor waktu nya 30 hari, kalo easycash kn ada tenor waktu awal 15 hari!!",Positif
Deddy Amun,5,2024-12-31 04:21:23,"cepat dan mudah,, sayang limit tdk sesuai permintaan",Positif
Aidil Anwar,5,2024-12-31 04:13:30,"cepat,,, bertahap aja deh limit nya",Positif
aksian arifin,1,2024-12-31 04:13:27,"maaf saya uninstal apk easy cash, Krn dana yg d terima tidak cukup utk pengembangan usaha, saya sudah konfjrm utk penghapusan data, dan jika data disalahgunakan, ingat UUITE betlaku",Negatif
Daniel Supriono,5,2024-12-31 04:11:38,sangat membantu,Positif
Tom,5,2024-12-31 04:01:11,Sangat membantu,Positif
Teguh Fahrudin,1,2024-12-31 04:01:10,"Kopet,,,,,",Negatif
Ramadhon RPR,5,2024-12-31 04:00:26,limit nya kurang besar tambahk lagi ya,Positif
Sri Suhamih,5,2024-12-31 03:56:03,"Terimakasih sudah membantu dalam kebutuhan mendesak. Perhari ini Selasa, 31 Desember 2024 saya hapus akun & uninstall aplikasi karna sudah tidak ada pinjaman sama sekali, mohon tidak disalahgunakan data-data saya. Jika terjadi masalah, bukan tanggung jawab saya. Terimakasih.",Positif
Dwi Ardianto,5,2024-12-31 03:55:44,Bagus,Positif
Hafizin,3,2024-12-31 03:26:29,Sangat Membantu,Positif
Tutty Dewi,5,2024-12-31 03:25:34,sukses slalu😍,Positif
Alex Yehezkiel Silalahi,5,2024-12-31 03:25:01,ok,Positif
nuraiana nur,5,2024-12-31 03:24:42,semoga aplikasi ini tetap jaya selalu,Positif
Sopyan Syah,1,2024-12-31 03:21:50,tolong Bpk/ibu. saya mau di hapus data saya. pengajuan pinjaman saya gagal. terimasih,Negatif
Alfian Ezhi,1,2024-12-31 03:10:16,"Saya selalu pelunasan di awal sebelum jatuh tempo tapi setiap habis bayar limit selalu hilang , ngebetein padahal pake ini udah lama dan ga pernah telat bayar",Negatif
Mintarsih,3,2024-12-31 03:03:51,Pertanggal 31-12-2024 Saya tidak JD mengajukan di aplikasi easy cash.harap data saya jangan disalah gunakan.terimakasih,Positif
R. Hardiansyah,5,2024-12-31 02:51:56,apk keren beda dari yg lain pinjamn tenor panjng bunga rendah,Positif
Masri 88,1,2024-12-31 02:46:12,Limit kecil,Negatif
PUJI Ndesho,5,2024-12-31 02:27:10,sangat mudah dan cepat,Positif
jajang jeruji ragaji,3,2024-12-31 02:19:56,Knapa limit saya menghilang stelah saya lunasi pinjaman,Positif
Rendy Rendycoll,5,2024-12-31 02:16:06,Puas sekali,Positif
SOPIAN,5,2024-12-31 02:13:52,ok,Positif
zaki chanel,1,2024-12-31 02:13:46,"aplikasi pengganggu gua ga minjem aja di telponin apalagi minjem, aplikasi tolol bego idiot",Negatif
Abigail Aprilia,5,2024-12-31 02:03:07,layanan sangat cepat dan baik,Positif
Dadi Kadir,1,2024-12-31 02:01:44,Sudah pelunasan Tidak bisa pinjam kembali Maaf saya kasih bintang 1,Negatif
sendy krab,5,2024-12-31 01:59:51,LIMITD HILANG SETELAH PELUNASAN. PAYAHH BANGET MENDING JANGAN DOWNLOD,Positif
AngGia FebrilinaZani,1,2024-12-31 01:55:37,mengganggu,Negatif
Ruto Handoyo,5,2024-12-31 01:54:27,cepat proses nya,Positif
Suryana Suryana,5,2024-12-31 01:50:41,aplikasi sangat berguna buat bantuan,Positif
Nasrullah ullah,5,2024-12-31 01:36:03,baik,Positif
Supardi Alamsyah,5,2024-12-31 01:32:18,ok,Positif
Arman Febrian,5,2024-12-31 01:19:25,semoga berhasil coba dlu,Positif
Bangbayik Wonogiri,5,2024-12-31 01:14:34,terbaik dikelasnya,Positif
Adi saripudin,4,2024-12-31 01:11:39,ok,Positif
Hendra Setyawan,1,2024-12-31 00:57:58,Setelah pelunasan malah pinjaman tidak lolos maksudnya gimana?,Negatif
Mas Ajinomoto,1,2024-12-31 00:50:03,"Aplikasi apa ini, sudah melengkapi data dan sudah dikasih Limit tapi gak bisa dicairkan karena Data tidak lengkap. Ini aplikasi penipuan, hanya mau curi data sertifikat rumah atau kendaraan. Bagi Yang belum pakai gak usah pakai dah... Saya Unistal apk ini hari ini 31 Desember 2024. Ingat jangan salah gunakan Data2 saya. Skripsion ini saya simpan, sebagai tanda bukti kalau saya tidak pernah pinjam uang di Esycash.",Negatif
Minandar Syaqila,5,2024-12-31 00:31:45,Good,Positif
Aji Maulana,1,2024-12-31 00:27:57,Telekk,Negatif
Nasrudin Aja,5,2024-12-31 00:15:39,"syarat mudah, dan sangat membantu.",Positif
Adi Sunarya,5,2024-12-30 23:51:13,"Setelah lunas, limitnya hilang dan tidak bisa pengajuan pinjaman lagi",Positif
Mai Semua,5,2024-12-30 23:46:45,Aplikasi ini aku sarankan soal nya buat pinjaman itu mudah banget gak ada yang namannya itu iklan pokok nya rekomended banget deh,Positif
Mimin Marita,5,2024-12-30 23:05:58,Bagus,Positif
kelana yanto,5,2024-12-30 22:50:48,sangat membantu,Positif
Pratiwi Tiwi,5,2024-12-30 22:47:40,sangat membantu,Positif
Armansyah arman,3,2024-12-30 22:32:49,"Saat udah daftar TPI gx di ACC saat itu juga langsung saya uninstal Udah cape cape daftar TPI gx di ACC Padahal ngisinya pendaftaran udah lengkap,mohon untuk di hapus informasi/ data diri saya karna gx jadi minjem",Positif
silvia kustantinah,5,2024-12-30 22:22:50,proses pinjamannya cepat,Positif
Muhammad Aji,1,2024-12-30 21:56:00,Sanagat buruk jngn pinjam di sini masa hbs di lunasi langsung gak dapat lumit,Negatif
Ida Farida,5,2024-12-30 21:24:09,Amanah bgt,Positif
K.Seisha Dewinugraha (Seisha),5,2024-12-30 20:02:33,terimakasih easycash kamu bisa diandalkan pada saat keadaan mendesak.pokoknya mantul....tul...maaf ya pinjol lainnya tidak seperti easycash limit tingggi bunganya rendah jangkanya panjang dan banyak fitur menarik....,Positif
Kali Keting,1,2024-12-30 19:44:46,"Hapus data saya Belum mengajukan dana sepeserpun, sudah ditolak...",Negatif
Ajik Utomo,3,2024-12-30 19:27:42,makasih,Positif
Ogut Ogut,5,2024-12-30 19:25:51,terimakasih atas bantuannya,Positif
Nurhasan Ashari,5,2024-12-30 19:15:01,keren,Positif
Immanuel Roberto,1,2024-12-30 18:31:31,"hati hati pakai easy cash tiap 2 minggu tagihanya, bukan perbulan, potongan nya juga mahalllllllll, tidak di sarankan pakai pinjol ini",Negatif
Bunda Auzan,5,2024-12-30 17:32:20,Sdh dua kali pinjam..tapi kok limit nya g naik'..malah limit nya berkurang,Positif
Nasa Aryadi,1,2024-12-30 17:30:21,Mennggu,Negatif
Damiyanto Yanto,5,2024-12-30 16:55:09,Aplikasi memang cepat dan mudah pendaftaranya,Positif
Siti,3,2024-12-30 16:19:44,awal yg bgus ksih limit 100rb plunasan limit 500rb naik ajukan tolak.. ga ada membantu pas butuh,Positif
alyasyafika,1,2024-12-30 16:16:46,Kenapa saya tidak bisa mengajukan pinjaman lagi padahal sya bayar tepat waktu sebelum jatuh tempo,Negatif
Nur Rohim,5,2024-12-30 16:02:42,nice,Positif
Samsul Falah,5,2024-12-30 16:02:05,"Bunga rendah,pengajuan cepat nggak ribet,jaga pembayaran tepat waktu.cuma pembayaran angsuran 2 minggu sekali...",Positif
David Damara,5,2024-12-30 16:02:00,bagus,Positif
Aprilia Amanunggal,5,2024-12-30 15:35:30,good,Positif
Irul Rull,1,2024-12-30 15:33:25,Limit saya slalu hilang padahal aku bayar cepet,Negatif
Gitong Ashari,5,2024-12-30 15:22:16,mantap,Positif
Dadang Maulana,5,2024-12-30 14:50:59,selalu langganan ketika sy lagi ke butuhan mendadak,Positif
Agil Al Munawar,2,2024-12-30 14:49:58,Hallow ini gmna easycash ini saya jauh dari jatuh tempo dan bayar semua cicilan menunggu saya sudah lunasi semua sudah bayar ko limit malah ancur saya di kasih limit (100ribu) why??? saya mengajukan lagi knpa cuman di kasih limit (100ribu) awal saya pinjam (600ribu) saya bayarin lunasin semuanya jauh dari jatuh tempo knpa limit malah ancur? Tolong pencerahannya??????,Negatif
Julia Darma,5,2024-12-30 14:47:46,mantap,Positif
Nuni Indasari,5,2024-12-30 14:46:06,senang banget sama easy cash mudah banget pinjemnya limitnya naik Terus lagi pinjaman ketiga ini ... thanks easy cash 🙏,Positif
erwin win,1,2024-12-30 14:41:51,"Aplikasi ga jelas,udah ambil bayar lunas,giliran mau ambil lagi susah",Negatif
Bang darto,5,2024-12-30 14:38:23,"Sudah puluhan kali mengajukan tp tidak pernah acc,,bintang 5 biar dibaca",Positif
Sunarto Tn,5,2024-12-30 14:38:07,josss poko.nya,Positif
rizky azizan,1,2024-12-30 14:14:22,Aneh limit malah jadi kosong . Setelah saya lunasin 2 angsuran sekaligus limit malah jadi kosong aneh banget ..... Di telpon mah bilang nya bayar apk dengan baik dan lunasin lebih awal eh pas di lunasin malah ga dapet limit aneh aneh aneh. Jadi ragu pake apk inih. Saya turunin,Negatif
jack sam,1,2024-12-30 14:03:15,"Hati"" .. Blm ada sbulan udh di tgih DC.. Dan cicilnya sebulan 2x.. Tidak sebulan sekali.. Kurang ramah",Negatif
Erik Perdana,5,2024-12-30 13:53:41,Terima kasih easy cash.memang sesuai dengan nama nya,Positif
Wina Dedek,5,2024-12-30 13:34:03,mntap aplikasinya,Positif
Ema Rabima,1,2024-12-30 13:17:32,"Pengajuan penghapusan akun aja sengaja dipersulit, tolong hapus data saya, saya gk ada sangkut paut lagi sama apk ini! Gk jelas",Negatif
Soleh Dablank,1,2024-12-30 13:11:37,"Dapat limit 40jt pas butuh mau di pinjam malah di tolak, cuma iklan aja",Negatif
strawberry,5,2024-12-30 12:59:54,Good easycash pendanaan nya,Positif
pinton doank,1,2024-12-30 12:59:40,Blok limit gede . Tiba² gak bisa ajuinn,Negatif
Indra Ishariyanto,5,2024-12-30 12:33:59,sangat membantu,Positif
winardi Yanto,5,2024-12-30 12:14:13,trimakasih easycash betul betul mudah pengajuan nya,Positif
kentyus rantau,1,2024-12-30 12:13:54,Parah tidak telat limit sudah besar tiba tiba hilang limit nya gimana sihhh,Negatif
Nana Wasna,2,2024-12-30 12:11:59,kak mau nnya gimna cara mengganti nomor hp yg lama dgn yg baru tpi udah masuk aplikasi nya pingin saya ruba krna udah tidak bisa kode otp nya,Negatif
Roni yeswito,3,2024-12-30 12:06:57,Tidak pernah telat bayar setelah dilunasi limit tidak tersedia padahal sudah berapa kali melakukan pinjaman jadi mau nasabah yang bagaimana?,Positif
Fitrawati Ipit,3,2024-12-30 11:48:52,saya kasih bintang 3 dulu entar kalau dana cair saya tambahin lagi bintang ya oke,Positif
qurnan qurnan,1,2024-12-30 11:16:50,Kenapa tidak bisa ganti no HP sangat menjengkelkan saya sdh Menguinstal aplikasi ini jangan sebar kan data saya,Negatif
BINTANG DINO HAEKAL,5,2024-12-30 11:06:44,Kenapa pinjaman saya selalu di tolak,Positif
Mas Ian99,5,2024-12-30 11:03:47,mantap,Positif
Satria Dwi Anggoro,2,2024-12-30 10:56:41,Dapet limit kecil trus udh dilunasi naik limit mlah ditolak pinjamannya gimana sii,Negatif
BILL13 TheBeat,3,2024-12-30 10:54:04,"Terimakasih easycash, saya sudah terasa terbantu🙏🙏👍👍 per tanggal 30-12-2024 jam 17:52 meng uninstal dan menghapus akun easy cash , mohon data saya yg ada di aplikasi di hapus karna pinjaman saya sudah selesai , terimakasih sekali lagi",Positif
Resti Maisaroh,5,2024-12-30 10:53:22,"Saya sudah pernah menggunakan apk ini karna butuh uang, setelah lunas lalu saya hapus data tanpa baca pesan dari easycash karna takut data saya tersebar. Setelah saya butuh uang lagi ternyata saya tidak bisa menggunakan akun saya lagi karna sudah hapus data. Padahal saya ingin menggunakan lagi easycash",Positif
MASIH NOOB,5,2024-12-30 10:52:22,pengajuan cepat,Positif
Wendi Aza,5,2024-12-30 10:51:41,mudah dan cepat,Positif
래나玲奈,1,2024-12-30 10:50:37,Jelek banget....,Negatif
Risna Wati,1,2024-12-30 10:43:38,Sudah lunas gak bisa pinjam,Negatif
Eri Rohmadi,4,2024-12-30 10:26:06,lumayan membantu,Positif
Zhaen Baok,5,2024-12-30 10:01:45,Smoga di ACC. Lagi butuh banget.,Positif
Wahyudin Wahyudin,1,2024-12-30 09:57:37,Payah easy cash giliran nagih wa Ama tlp terus giliran udah di lunasin malah pengajuan LG malah di tolak. Ga sesuai Ama iklan nya,Negatif
Jesaya Ginting suka,1,2024-12-30 09:45:26,nawarin pinjaman tapi g di acc aneh emang,Negatif
Nandang Rusmana,1,2024-12-30 09:42:39,cepet tolaknya,Negatif
Arma Ibn Ekho,1,2024-12-30 09:42:03,"Sial, menyesal saya udah kasi identitas saya termasuk nomor HP saya. Di spam, ditelpon terus anjir, biar mau minjem. Ganggu!!! Padahal apknya udh aku unins masih aja di telpon! Mana limitnya pelit banget. Di kasi KK asli malah bilangnya ga sesuai. Mau ngasi pake file atau foto yg udh ada juga ga bisa. Anjirlah ni apk pemaksaan.",Negatif
Zayyidan Ahmad,5,2024-12-30 09:35:16,sangat membantu,Positif
Supri Atin,5,2024-12-30 09:34:47,Bagus,Positif
Ika Kurniawati,1,2024-12-30 09:33:29,cuman mau ambil data orang j...seblm di download aplikasi ini ada yg tlp dr aplikasi ini.. katanya Bu pinjam sdh di setujui in...download dulu aplikasi nya... penipuan ga jelas tolong data sy di hapus jgn di salahin gunakan,Negatif
Rizqi Fiyah,1,2024-12-30 09:28:48,Gak tau knpa baru ngajuin limited jg sdikit tp mlh ketolak,Negatif
Widodo Widodo,5,2024-12-30 09:19:24,dana talangan yg SGT membantu,Positif
Sentia Restiani,5,2024-12-30 09:12:49,Mantap,Positif
satriyo zagad,1,2024-12-30 09:10:47,"Gk sesuai yg di promosikan,jebakan rentenir online",Negatif
Elisabeth Apriliani,3,2024-12-30 09:04:37,Tolong dong kalau sudah tdk ada tagihan ga usah dtlp smpe 10x sehari. Ganggu org istirahat.,Positif
Farid Djoker99,5,2024-12-30 09:00:53,good,Positif
MUKHAMAD ROMADHON,2,2024-12-30 08:47:26,aku kira bunganya bulanan ternyata bunga harian jdi semakin lama cicilan semakin gede pelunasan nya GILAAA,Negatif
adindaa putrii,5,2024-12-30 08:44:41,baik,Positif
Duda Helwa,1,2024-12-30 08:40:38,Ga bagussssd,Negatif
Sobri Sense,3,2024-12-30 08:36:13,cepat,Positif
Reza Juniardi,5,2024-12-30 08:30:21,mantapp,Positif
Hidayat Nur,5,2024-12-30 08:29:16,Trima kasih untuk aesyhcash yg telah membantu keuangan saya ... Sya tlh menghapus akun d apk aesyhcash karna sya blm membutuhkan pendanaan lagi..,Positif
Sabian Gibran,1,2024-12-30 08:26:44,"Pengajuan TDK ACC ,mohon data saya dhapus ,12-11-2024 . trimakasih Knapa TDK bisa hapus akun Pdhl udah 1bln lebih Apabila data dsalah gunakan akan saya laporkan",Negatif
Joni Arifianto,5,2024-12-30 08:25:10,baik,Positif
Rojali Saputra,5,2024-12-30 08:08:54,cukup baik,Positif
Muhamad Ramdan,1,2024-12-30 07:46:33,Sangat buruk mau pinjam tidak bisa data udah di kasih parah banget takut data di sebar jirrr,Negatif
Akun Vivo,2,2024-12-30 07:42:10,"Oke pinjaman saya disini sudah selesai ya, dan tidak ada tagihan apapun. Cara penagihan nya sangat tidak ramah , baru pertama kali telat dan baru sehari telatnya juga belum sampai 24 jam, penagihan nya sudah kayak buronan ya. sangat tidak ramah (bintang 0) padahal itu tagihan terakhir. Untuk penghapusan data nya juga kenapa di persulit ya , tolong pihak easy cash jika cara penagihan mu seperti itu untuk penghapusan data nya jangan di persulit!! Jangan salah gunakan data-data saya!!",Negatif
